DatasetAcronym,AttributeName, InstanceName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,WaterOrCalendarYear,YearMonth, CountDays,CalenderYear,CumulativeMonthly
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1927","1",,"5300"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1928","1",,"5090"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1929","1",,"10100"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1930","1",,"13300"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1931","1",,"9340"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1932","1",,"2070"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1933","1",,"532"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1934","1",,"2020"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1935","1",,"238"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1936","1",,"738"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1937","1",,"2100"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1938","1",,"1240"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1939","1",,"2790"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1940","1",,"2760"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1941","1",,"5680"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1942","1",,"615"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1943","1",,"6825"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1944","1",,"322"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1945","1",,"623"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1946","1",,"603"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1947","1",,"881"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1948","1",,"1192"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1949","1",,"627"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1950","1",,"66"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1951","1",,"1386"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1952","1",,"1059"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1953","1",,"791"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1954","1",,"857"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1955","1",,"627"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1956","1",,"1018"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1957","1",,"1267"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1958","1",,"1234"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1959","1",,"1269"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1960","1",,"477"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1961","1",,"208"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1962","1",,"69"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1963","1",,"184"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1964","1",,"38"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1965","1",,"196"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1966","1",,"480"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1967","1",,"286"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1968","1",,"400"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1969","1",,"460"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1970","1",,"235"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1971","1",,"24"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1972","1",,"460"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1973","1",,"434"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1974","1",,"471"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1975","1",,"483"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1976","1",,"500"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1977","1",,"380"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1978","1",,"498"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1979","1",,"982"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","11/1980","1",,"739"
